household_size,dwelling_type,attitude,weather_effects_on_electricity_consumption,weather_conditions_most_affecting,awareness_about_energy_policies,weather-based_energy_management_strategies_adoption,challenges,monitoring,checking_consumption,appliances_using_the_most_electricity,self_reported_peak_consumption_times,provider_info_rating,age,education,occupation,income,comments
3,Apartment,Neither satisfied nor dissatisfied,Strongly agree,"Wind, Humidity",Somewhat uninformed,Adjusting your thermostat settings based on the weather forecast,Finance,Yes,Monthly,"Washing machine, Dryer, Dishwasher",Sathurday,Somewhat well,18-24,Some college,employed,20k-40k,Finance
2,Detached,Somewhat satisfied,Strongly agree,"Precipitation, Humidity",Somewhat informed,Adjusting your thermostat settings based on the weather forecast,Information,Yes,Monthly,"Refrigerator, Washing machine, Lighting",Sathurday,Somewhat well,35-44,Bachelor's degree,employed,60k-80k,Grants
4,Detached,Somewhat dissatisfied,Somewhat disagree,"Wind, Humidity",Somewhat uninformed,"Washing clothes in cold water during hot weather, Taking shorter showers in hot weather",Finance ,Lack of information ,Never,"Washing machine, Dryer, Dishwasher",Sathurday ,Somewhat well,45-54,Master's degree or higher,HR. Manager,60k-80k,Information sessions
3,Semi_detached,Neither satisfied nor dissatisfied,Somewhat agree,Humidity,Somewhat uninformed,Using energy-efficient appliances whenever possible,Finance,Lack of information ,Yearly,"Refrigerator, Washing machine, Dryer, Dishwasher, Television, Computer, Lighting",Sathurday,Somewhat well,65-99,Less than high school,employed,80k-150k,Finance
3,Apartment,Neither satisfied nor dissatisfied,Somewhat agree,"Precipitation, Humidity",Somewhat uninformed,Using energy-efficient appliances whenever possible,Finance,Lack of information ,Yearly,"Refrigerator, Washing machine, Television",Sathurday,Somewhat well,18-24,High school diploma or equivalent,employed,20k-40k,Finance
2,Detached,Somewhat satisfied,Somewhat agree,"Precipitation, Wind",Somewhat informed,"Adjusting your thermostat settings based on the weather forecast, Washing clothes in cold water during hot weather",Information,Yes,Monthly,"Refrigerator, Washing machine, Lighting",Sathurday,Neutral,18-24,High school diploma or equivalent,employed,40k-60k,Build sustainable houses
2,Semi_detached,Neither satisfied nor dissatisfied,Strongly agree,"Precipitation, Wind, Humidity",Somewhat informed,"Adjusting your thermostat settings based on the weather forecast, Washing clothes in cold water during hot weather, Taking shorter showers in hot weather",Information ,Lack of information ,Never,"Refrigerator, Washing machine, Lighting",holidays,Neutral,25-34,Some college,employed,40k-60k,Build sustainable houses
3,Semi_detached,Neither satisfied nor dissatisfied,Somewhat agree,"Wind, Humidity",Somewhat uninformed,Adjusting your thermostat settings based on the weather forecast,Finance,Yes,Monthly,"Refrigerator, Washing machine, Dryer",holidays,Neutral,18-24,High school diploma or equivalent,employed,40k-60k,Build sustainable houses
1,Semi_detached,Somewhat satisfied,Somewhat agree,Humidity,Somewhat uninformed,"Using energy-efficient appliances whenever possible, Washing clothes in cold water during hot weather,Taking shorter showers in hot weather",Information,Yes,Weekly,"Washing machine, Dishwasher, Lighting",Sathurday ,Neutral,18-24,High school diploma or equivalent,Student ,0k-20k,Build sustainable houses
2,Apartment,Somewhat dissatisfied,Somewhat agree,"Humidity, Humidity",Somewhat uninformed,"Using energy-efficient appliances whenever possible, Washing clothes in cold water during hot weather",Information,Lack of information ,Never,"Refrigerator, Washing machine, Lighting",weekend,Neutral,18-24,Some college,Student,0k-20k,Build sustainable houses
4,Semi_detached,Neither satisfied nor dissatisfied,Neutral,Humidity,Somewhat uninformed,"Using energy-efficient appliances whenever possible, Taking shorter showers in hot weather",Finance,Yes,Weekly,"Refrigerator, Washing machine, Lighting",holidays,Neutral,18-24,Some college,Student ,20k-40k,Build sustainable houses
3,Semi_detached,Somewhat satisfied,Somewhat agree,"Wind, Humidity",Somewhat uninformed,"Adjusting your thermostat settings based on the weather forecast, Washing clothes in cold water during hot weather, Taking shorter showers in hot weather",Information,Yes,Monthly,"Refrigerator, Washing machine, Lighting",holidays,Neutral,18-24,Bachelor's degree,employed,60k-80k,Information sessions
2,Semi_detached,Somewhat satisfied,Somewhat agree,"Humidity, Humidity",Somewhat uninformed,Adjusting your thermostat settings based on the weather forecast,Finance,Lack of information ,Yearly,"Dryer, Computer, Lighting",holidays,Neutral,18-24,Some college,Stundent,0k-20k,Information sessions
2,Apartment,Somewhat dissatisfied,Strongly agree,Precipitation,Somewhat uninformed,Adjusting your thermostat settings based on the weather forecast,Finance,Yes,Monthly,"Refrigerator, Washing machine, Computer",Sathurday,Neutral,18-24,High school diploma or equivalent,employed,60k-80k,Finance
2,Apartment,Neither satisfied nor dissatisfied,Strongly agree,"Precipitation, Wind, Humidity",Somewhat informed,Adjusting your thermostat settings based on the weather forecast,Finance,Yes,Weekly,"Washing machine, Dishwasher, Computer",Sathurday,Neutral,25-34,Some college,employed,20k-40k,Grants
3,Apartment,Neither satisfied nor dissatisfied,Strongly agree,"Precipitation, Wind, Humidity",Somewhat uninformed,"Adjusting your thermostat settings based on the weather forecast, Washing clothes in cold water during hot weather",Finance,Lack of information ,Yearly,"Refrigerator, Dishwasher, Lighting",Sathurday,Neutral,18-24,Some college,employed,40k-60k,Information sessions
2,Semi_detached,Neither satisfied nor dissatisfied,Strongly agree,"Precipitation, Wind, Humidity",Somewhat informed,Adjusting your thermostat settings based on the weather forecast,Finance,Lack of information ,Yearly,"Washing machine, Dryer, Computer",Sunday,Neutral,18-24,Some college,employed,40k-60k,Information sessions
2,Apartment,Neither satisfied nor dissatisfied,Somewhat agree,"Humidity, Wind",Somewhat informed,"Washing clothes in cold water during hot weather, Taking shorter showers in hot weather",Finance,Lack of information ,Never,"Refrigerator, Washing machine, Television",weekend,Very well,35-44,Bachelor's degree,employed,40k-60k,Finance
2,Semi_detached,Neither satisfied nor dissatisfied,Somewhat agree,Precipitation,Somewhat informed,"Using energy-efficient appliances whenever possible, Unplugging unused electronics",Information,Lack of information ,Monthly,"Refrigerator, Dryer, Dishwasher",Everyday ,Very well,45-54,Some college,employed,0k-20k,Finance
4,Apartment,Somewhat dissatisfied,Somewhat agree,Precipitation,Somewhat uninformed,Using energy-efficient appliances whenever possible,Finance ,Lack of information ,Never,"Refrigerator, Washing machine, Dryer, Dishwasher, Television, Computer",Sathurday,Very well,35-44,Bachelor's degree,employed,0k-20k,Finance
2,Apartment,Somewhat dissatisfied,Somewhat disagree,Precipitation,Somewhat uninformed,Using energy-efficient appliances whenever possible,Finance ,Lack of information ,Never,"Washing machine, Dryer",Evening ,Very well,35-44,Bachelor's degree,employed,40k-60k,Grants
1,Semi_detached,Neither satisfied nor dissatisfied,Somewhat disagree,"Humidity, Humidity",Somewhat uninformed,"Using energy-efficient appliances whenever possible, Washing clothes in cold water during hot weather",Finance ,Lack of information ,Never,"Refrigerator, Washing machine, Dishwasher",weekend,Very well,25-34,Some college,employed,20k-40k,Finance
4,Semi_detached,Somewhat satisfied,Somewhat disagree,Humidity,Somewhat informed,Adjusting your thermostat settings based on the weather forecast,Finance ,Lack of information ,Never,"Refrigerator, Dryer",Every day ,Very well,25-34,Some college,employed,0k-20k,Finance
1,Detached,Neither satisfied nor dissatisfied,Neutral,Humidity,Somewhat informed,Unplugging unused electronics,Finance,Lack of information ,Monthly,Refrigerator,Sathurday,Very well,25-34,Bachelor's degree,employed,40k-60k,Grants
3,Apartment,Somewhat satisfied,Strongly agree,"Precipitation, Wind, Humidity",Somewhat uninformed,Adjusting your thermostat settings based on the weather forecast,Renting,Yes,Monthly,"Refrigerator, Dryer, Computer",Sathurday,Very well,18-24,Some college,employed,20k-40k,Finance
4,Semi_detached,Somewhat satisfied,Somewhat disagree,Humidity,Somewhat informed,Using energy-efficient appliances whenever possible,Renting,Lack of information ,Monthly,"Refrigerator, Dryer",holidays,Neutral,35-44,High school diploma or equivalent,employed,20k-40k,Grants
2,Semi_detached,Neither satisfied nor dissatisfied,Strongly agree,"Humidity, Wind",Somewhat uninformed,Adjusting your thermostat settings based on the weather forecast,Renting,Lack of information ,Yearly,"Washing machine, Television, Lighting",Sathurday,Neutral,25-34,Bachelor's degree,employed,40k-60k,Finance
3,Semi_detached,Somewhat dissatisfied,Strongly disagree,"Humidity, Humidity",Somewhat informed,Washing clothes in cold water during hot weather,Renting,Lack of information ,Never,"Refrigerator, Washing machine",Sathurday,Neutral,35-44,Bachelor's degree,employed,40k-60k,Information sessions
2,Apartment,Neither satisfied nor dissatisfied,Somewhat agree,"Humidity, Wind",Somewhat uninformed,Using energy-efficient appliances whenever possible,Finance ,Lack of information ,Never,"Washing machine, Dryer",weekend,Very poorly,45-54,Some college,employed,20k-40k,Finance
3,Semi_detached,Somewhat dissatisfied,Somewhat disagree,Humidity,Somewhat informed,Using energy-efficient appliances whenever possible,Finance ,Lack of information ,Never,"Refrigerator, Dryer, Dishwasher",weekend,Very poorly,45-54,High school diploma or equivalent,employed,0k-20k,Finance
2,Detached,Somewhat satisfied,Somewhat disagree,"Wind, Humidity",Somewhat informed,Washing clothes in cold water during hot weather,Finance ,Lack of information ,Never,"Refrigerator, Dryer, Dishwasher",weekend,Very poorly,35-44,Bachelor's degree,employed,60k-80k,Finance
2,Detached,Somewhat dissatisfied,Somewhat disagree,"Humidity, Humidity",Somewhat informed,Using energy-efficient appliances whenever possible,Finance,Lack of information ,Never,"Refrigerator, Washing machine, Dryer",evening ,Very poorly,45-54,Bachelor's degree,employed,60k-80k,Finance
3,Apartment,Somewhat satisfied,Neutral,Humidity,Somewhat uninformed,Using energy-efficient appliances whenever possible,Finance ,Lack of information ,Never,"Refrigerator, Dishwasher",weekend,Very poorly,35-44,Some college,employed,20k-40k,Finance
4,Semi_detached,Somewhat dissatisfied,Neutral,Humidity,Somewhat uninformed,Unplugging unused electronics,Finance,Lack of information ,Monthly,Refrigerator,Sathurday,Very poorly,35-44,Some college,employed,0k-20k,Politics 
1,Apartment,Neither satisfied nor dissatisfied,Somewhat agree,Precipitation,Somewhat informed,Using energy-efficient appliances whenever possible,Finance,Lack of information ,Never,Refrigerator,Sathurday,Very poorly,25-34,Bachelor's degree,employed,0k-20k,Politics 
4,Semi_detached,Neither satisfied nor dissatisfied,Somewhat disagree,Humidity,Somewhat informed,Using energy-efficient appliances whenever possible,Politics,Lack of information ,Never,"Refrigerator, Dryer",Sathurday,Very poorly,25-34,Bachelor's degree,employed,0k-20k,Politics 
3,Semi_detached,Neither satisfied nor dissatisfied,Somewhat agree,Wind,Somewhat informed,Adjusting your thermostat settings based on the weather forecast,Politics,Lack of information ,Monthly,Washing machine,Sathurday,Very poorly,35-44,High school diploma or equivalent,employed,60k-80k,Politics 
1,Apartment,Somewhat dissatisfied,Strongly agree,Wind,Somewhat informed,Using energy-efficient appliances whenever possible,Politics,Lack of information ,Weekly,"Television, Computer",Monday ,Neutral,25-34,High school diploma or equivalent,employed,0k-20k,Politics 
2,Detached,Somewhat satisfied,Somewhat disagree,Humidity,Somewhat informed,Using energy-efficient appliances whenever possible,Politics,Lack of information ,Never,"Refrigerator, Washing machine",Sathurday,Neutral,35-44,Master's degree or higher,employed,80k-150k,Politics 
2,Semi_detached,Neither satisfied nor dissatisfied,Neutral,Precipitation,Somewhat informed,Using energy-efficient appliances whenever possible,Politics,Lack of information ,Never,"Dryer, Dishwasher",Sathurday,Very poorly,35-44,Some college,employed,0k-20k,Politics 
2,Detached,Somewhat satisfied,Somewhat disagree,"Wind, Humidity",Somewhat informed,Washing clothes in cold water during hot weather,Politics,Lack of information ,Weekly,"Refrigerator, Dryer, Dishwasher",weekend,Very poorly,35-44,Bachelor's degree,employed,60k-80k,Politics 
3,Detached,Neither satisfied nor dissatisfied,Somewhat disagree,"Wind, Humidity",Somewhat informed,Washing clothes in cold water during hot weather,Finance ,Lack of information ,Weekly,"Refrigerator, Dryer, Dishwasher",holidays,Neutral,35-44,Bachelor's degree,employed,60k-80k,Politics 
3,Detached,Neither satisfied nor dissatisfied,Somewhat disagree,"Wind, Humidity",Somewhat informed,Washing clothes in cold water during hot weather,Finance ,Lack of information ,Weekly,"Refrigerator, Dryer, Dishwasher",weekend,Neutral,35-44,Bachelor's degree,employed,60k-80k,Politics 
3,Detached,Neither satisfied nor dissatisfied,Somewhat disagree,"Wind, Humidity",Somewhat informed,Washing clothes in cold water during hot weather,Politics,Lack of information ,Weekly,"Refrigerator, Dryer, Dishwasher",weekend,Somewhat poorly,35-44,Master's degree or higher,employed,60k-80k,Grants
3,Detached,Neither satisfied nor dissatisfied,Somewhat disagree,"Wind, Humidity",Somewhat informed,Washing clothes in cold water during hot weather,Finance ,Lack of information ,Weekly,"Refrigerator, Dryer, Dishwasher",weekend,Somewhat poorly,35-44,Master's degree or higher,employed,60k-80k,Politics 
3,Detached,Neither satisfied nor dissatisfied,Neutral,"Wind, Humidity",Somewhat informed,Washing clothes in cold water during hot weather,Finance ,Lack of information ,Weekly,"Refrigerator, Dryer, Dishwasher",weekend,Somewhat poorly,35-44,Master's degree or higher,employed,60k-80k,Grants
3,Detached,Neither satisfied nor dissatisfied,Neutral,"Wind, Humidity",Somewhat informed,Washing clothes in cold water during hot weather,Finance ,Lack of information ,Weekly,"Refrigerator, Dryer, Dishwasher",weekend,Somewhat poorly,35-44,Master's degree or higher,employed,60k-80k,Grants
3,Detached,Neither satisfied nor dissatisfied,Neutral,"Wind, Humidity",Somewhat informed,Washing clothes in cold water during hot weather,Renting,Lack of information ,Weekly,"Refrigerator, Dryer, Dishwasher",holidays,Somewhat poorly,35-44,Master's degree or higher,employed,60k-80k,Politics 
3,Detached,Neither satisfied nor dissatisfied,Neutral,Humidity,Somewhat informed,Washing clothes in cold water during hot weather,Renting,Lack of information ,Weekly,"Refrigerator, Dryer, Dishwasher",holidays,Somewhat poorly,35-44,Master's degree or higher,employed,60k-80k,Politics 
3,Semi_detached,Neither satisfied nor dissatisfied,Neutral,Humidity,Somewhat informed,Washing clothes in cold water during hot weather,Politics,Lack of information ,Weekly,"Refrigerator, Dryer, Dishwasher",weekend,Somewhat poorly,35-44,Master's degree or higher,employed,60k-80k,Politics 
3,Semi_detached,Neither satisfied nor dissatisfied,Neutral,Humidity,Somewhat informed,Washing clothes in cold water during hot weather,Politics,Lack of information ,Weekly,"Refrigerator, Dryer, Dishwasher",holidays,Somewhat poorly,35-44,Master's degree or higher,employed,60k-80k,Politics 
3,Semi_detached,Neither satisfied nor dissatisfied,Neutral,Humidity,Somewhat informed,Washing clothes in cold water during hot weather,Politics,Lack of information ,Weekly,"Refrigerator, Dryer, Dishwasher",weekend,Somewhat poorly,35-44,Master's degree or higher,employed,60k-80k,Politics 
3,Semi_detached,Neither satisfied nor dissatisfied,Neutral,Humidity,Somewhat informed,Washing clothes in cold water during hot weather,Finance ,Lack of information ,Weekly,"Refrigerator, Dryer, Dishwasher",weekend,Somewhat poorly,35-44,Master's degree or higher,employed,60k-80k,Politics 
3,Semi_detached,Neither satisfied nor dissatisfied,Somewhat disagree,Humidity,Somewhat informed,Washing clothes in cold water during hot weather,Finance ,Lack of information ,Weekly,"Refrigerator, Dryer, Dishwasher",weekend,Somewhat poorly,35-44,Master's degree or higher,employed,60k-80k,Politics 
3,Semi_detached,Neither satisfied nor dissatisfied,Somewhat disagree,Humidity,Somewhat uninformed,Washing clothes in cold water during hot weather,Finance ,Lack of information ,Weekly,"Refrigerator, Dryer, Dishwasher",weekend,Neutral,35-44,Master's degree or higher,employed,60k-80k,Politics 
3,Semi_detached,Neither satisfied nor dissatisfied,Somewhat disagree,Humidity,Somewhat uninformed,Washing clothes in cold water during hot weather,Renting,Lack of information ,Weekly,"Refrigerator, Dryer, Dishwasher",weekend,Neutral,35-44,High school diploma or equivalent,employed,0k-20k,Politics 
3,Semi_detached,Neither satisfied nor dissatisfied,Somewhat disagree,Humidity,Somewhat uninformed,Washing clothes in cold water during hot weather,Renting,Lack of information ,Weekly,"Refrigerator, Dryer, Dishwasher",weekend,Neutral,35-44,Master's degree or higher,employed,60k-80k,Politics 
3,Semi_detached,Somewhat satisfied,Somewhat disagree,Humidity,Somewhat uninformed,Washing clothes in cold water during hot weather,Renting,Lack of information ,Weekly,"Refrigerator, Dryer, Dishwasher",weekend,Very poorly,35-44,Master's degree or higher,employed,40k-60k,Politics 
3,Semi_detached,Somewhat satisfied,Somewhat disagree,Humidity,Somewhat uninformed,Washing clothes in cold water during hot weather,Politics,Lack of information ,Weekly,"Refrigerator, Dryer, Dishwasher",weekend,Very poorly,35-44,High school diploma or equivalent,employed,0k-20k,Politics 
3,Semi_detached,Somewhat satisfied,Neutral,Humidity,Somewhat uninformed,Washing clothes in cold water during hot weather,Politics,Lack of information ,Weekly,"Refrigerator, Dryer, Dishwasher",weekend,Very poorly,35-44,Bachelor's degree,employed,40k-60k,Politics 
3,Semi_detached,Somewhat satisfied,Neutral,"Wind, Humidity",Somewhat uninformed,Washing clothes in cold water during hot weather,Politics,Lack of information ,Weekly,"Refrigerator, Dryer, Dishwasher",weekend,Very poorly,35-44,Bachelor's degree,employed,40k-60k,Politics 
3,Semi_detached,Somewhat satisfied,Neutral,"Wind, Humidity",Somewhat uninformed,Washing clothes in cold water during hot weather,Politics,Lack of information ,Weekly,"Refrigerator, Dryer, Dishwasher",weekend,Very poorly,35-44,Bachelor's degree,employed,40k-60k,Politics 
3,Semi_detached,Somewhat satisfied,Neutral,"Wind, Humidity",Somewhat uninformed,Washing clothes in cold water during hot weather,Politics,Lack of information ,Never,"Refrigerator, Dryer, Dishwasher",holidays,Very well,35-44,Bachelor's degree,employed,40k-60k,Politics 
3,Semi_detached,Somewhat satisfied,Neutral,"Wind, Humidity",Somewhat uninformed,Washing clothes in cold water during hot weather,Politics,Lack of information ,Monthly,"Washing machine, Dryer",holidays,Very well,65-99,High school diploma or equivalent,employed,0k-20k,Politics 
3,Semi_detached,Somewhat satisfied,Neutral,"Wind, Humidity",Somewhat uninformed,Washing clothes in cold water during hot weather,Politics,Lack of information ,Monthly,"Washing machine, Dryer",weekend,Very well,65-99,Bachelor's degree,employed,40k-60k,Finance
3,Semi_detached,Somewhat satisfied,Neutral,"Wind, Humidity",Somewhat uninformed,Washing clothes in cold water during hot weather,Renting,Lack of information ,Monthly,"Washing machine, Dryer",weekend,Very well,65-99,Bachelor's degree,employed,40k-60k,Finance
3,Detached,Somewhat dissatisfied,Neutral,"Wind, Humidity",Somewhat uninformed,Washing clothes in cold water during hot weather,Renting,Lack of information ,Monthly,"Washing machine, Dryer",weekend,Very well,65-99,Bachelor's degree,employed,40k-60k,Finance
3,Detached,Somewhat dissatisfied,Somewhat disagree,"Wind, Humidity",Somewhat informed,Washing clothes in cold water during hot weather,Renting,Lack of information ,Monthly,"Washing machine, Dryer",weekend,Very well,65-99,Bachelor's degree,employed,40k-60k,Finance
3,Detached,Somewhat dissatisfied,Somewhat disagree,"Wind, Humidity",Somewhat informed,Washing clothes in cold water during hot weather,Renting,Lack of information ,Monthly,"Washing machine, Dryer",weekend,Very well,65-99,Bachelor's degree,employed,40k-60k,Grants
3,Detached,Somewhat dissatisfied,Somewhat disagree,"Wind, Humidity",Somewhat informed,Washing clothes in cold water during hot weather,Renting,Lack of information ,Monthly,"Washing machine, Dryer",weekend,Very well,65-99,Bachelor's degree,employed,40k-60k,Finance
3,Detached,Somewhat dissatisfied,Somewhat disagree,Precipitation,Somewhat informed,Washing clothes in cold water during hot weather,Finance ,Lack of information ,Monthly,"Washing machine, Dryer",weekend,Very well,65-99,Bachelor's degree,employed,40k-60k,Grants
3,Detached,Somewhat dissatisfied,Somewhat disagree,Precipitation,Somewhat informed,Washing clothes in cold water during hot weather,Finance ,Lack of information ,Monthly,"Washing machine, Dryer",holidays,Very well,65-99,Bachelor's degree,employed,40k-60k,Grants
3,Detached,Somewhat dissatisfied,Somewhat disagree,Precipitation,Somewhat informed,Washing clothes in cold water during hot weather,Finance ,Lack of information ,Monthly,"Washing machine, Dryer",weekend,Very well,65-99,Bachelor's degree,employed,40k-60k,Politics 
3,Detached,Somewhat dissatisfied,Somewhat disagree,Precipitation,Somewhat informed,Washing clothes in cold water during hot weather,Finance ,Lack of information ,Monthly,"Washing machine, Dryer",weekend,Very well,35-44,Bachelor's degree,employed,40k-60k,Grants
3,Detached,Somewhat dissatisfied,Somewhat disagree,"Wind, Humidity",Somewhat informed,Washing clothes in cold water during hot weather,Finance ,Lack of information ,Monthly,"Washing machine, Dryer",weekend,Very well,35-44,Bachelor's degree,employed,40k-60k,Grants
3,Detached,Somewhat dissatisfied,Somewhat disagree,"Wind, Humidity",Somewhat informed,Washing clothes in cold water during hot weather,Finance ,Lack of information ,Monthly,"Washing machine, Dryer",holidays,Very well,35-44,Bachelor's degree,employed,40k-60k,Grants
3,Detached,Somewhat dissatisfied,Somewhat disagree,"Wind, Humidity",Somewhat informed,Washing clothes in cold water during hot weather,Finance ,Lack of information ,Monthly,"Washing machine, Dryer",weekend,Neutral,35-44,Bachelor's degree,employed,40k-60k,Grants
3,Detached,Somewhat dissatisfied,Somewhat disagree,"Wind, Humidity",Somewhat informed,Washing clothes in cold water during hot weather,Politics,Lack of information ,Monthly,"Washing machine, Dryer",weekend,Neutral,35-44,Bachelor's degree,employed,40k-60k,Grants
3,Detached,Somewhat dissatisfied,Somewhat disagree,"Wind, Humidity",Somewhat informed,Washing clothes in cold water during hot weather,Awareness,Lack of information ,Monthly,"Washing machine, Dryer",weekend,Neutral,35-44,High school diploma or equivalent,employed,40k-60k,Politics 
3,Detached,Somewhat dissatisfied,Somewhat disagree,"Wind, Humidity",Somewhat uninformed,Washing clothes in cold water during hot weather,Finance ,Lack of information ,Monthly,"Refrigerator, Dryer, Dishwasher",weekend,Neutral,35-44,High school diploma or equivalent,employed,40k-60k,Politics 
3,Semi_detached,Somewhat dissatisfied,Strongly disagree,"Wind, Humidity",Somewhat uninformed,Washing clothes in cold water during hot weather,Finance ,Lack of information ,Monthly,Dishwasher,weekend,well,35-44,High school diploma or equivalent,employed,40k-60k,Politics 
3,Detached,Somewhat dissatisfied,Strongly disagree,"Wind, Humidity",Somewhat uninformed,Washing clothes in cold water during hot weather,Finance ,Lack of information ,Monthly,Dishwasher,weekend,well,35-44,High school diploma or equivalent,employed,40k-60k,Politics 
3,Detached,Somewhat dissatisfied,Strongly disagree,Precipitation,Somewhat uninformed,Washing clothes in cold water during hot weather,Politics,Lack of information ,Monthly,Dishwasher,weekend,well,35-44,High school diploma or equivalent,employed,60k-80k,Politics 
3,Detached,Somewhat satisfied,Strongly disagree,Precipitation,Somewhat uninformed,Washing clothes in cold water during hot weather,Finance ,Lack of information ,Monthly,Dishwasher,weekend,well,35-44,High school diploma or equivalent,employed,0k-20k,Politics 
3,Detached,Somewhat satisfied,Strongly disagree,Precipitation,Somewhat uninformed,Washing clothes in cold water during hot weather,Finance ,Lack of information ,Monthly,Dishwasher,holidays,Neutral,35-44,High school diploma or equivalent,employed,60k-80k,Politics 
3,Detached,Somewhat satisfied,Somewhat disagree,Precipitation,Somewhat uninformed,Washing clothes in cold water during hot weather,Finance ,Lack of information ,Monthly,Dishwasher,weekend,Neutral,35-44,High school diploma or equivalent,employed,60k-80k,Politics 
3,Detached,Somewhat satisfied,Somewhat disagree,Precipitation,Somewhat uninformed,Washing clothes in cold water during hot weather,Awareness,Lack of information ,Monthly,Dishwasher,weekend,Neutral,35-44,High school diploma or equivalent,employed,60k-80k,Politics 
3,Detached,Somewhat satisfied,Somewhat disagree,Precipitation,Somewhat uninformed,Washing clothes in cold water during hot weather,Awareness,Lack of information ,Never,Dishwasher,holidays,Neutral,35-44,High school diploma or equivalent,employed,60k-80k,Finance
3,Detached,Somewhat satisfied,Somewhat disagree,Precipitation,Somewhat uninformed,Washing clothes in cold water during hot weather,Awareness,Lack of information ,Yearly,Dishwasher,weekend,Somewhat well,35-44,High school diploma or equivalent,employed,0k-20k,Finance
3,Detached,Somewhat satisfied,Somewhat disagree,Precipitation,Somewhat uninformed,Washing clothes in cold water during hot weather,Awareness,Lack of information ,Yearly,Dishwasher,weekend,Somewhat well,35-44,Bachelor's degree,employed,60k-80k,Finance
3,Detached,Somewhat satisfied,Somewhat disagree,"Wind, Humidity",Somewhat informed,Washing clothes in cold water during hot weather,Awareness,Lack of information ,Yearly,Dishwasher,weekend,Neutral,35-44,High school diploma or equivalent,employed,0k-20k,Finance
3,Detached,Somewhat satisfied,Somewhat disagree,"Wind, Humidity",Somewhat informed,Washing clothes in cold water during hot weather,Awareness,Lack of information ,Yearly,Dishwasher,weekend,Neutral,35-44,Bachelor's degree,employed,60k-80k,Finance
3,Detached,Somewhat satisfied,Somewhat disagree,"Wind, Humidity",Somewhat informed,Washing clothes in cold water during hot weather,Finance ,Lack of information ,Yearly,"Refrigerator, Dryer, Dishwasher",holidays,Very poorly,35-44,Bachelor's degree,employed,60k-80k,Finance
3,Semi_detached,Somewhat satisfied,Strongly disagree,"Wind, Humidity",Somewhat informed,Washing clothes in cold water during hot weather,Finance ,Lack of information ,Yearly,"Refrigerator, Dryer, Dishwasher",holidays,Very poorly,35-44,High school diploma or equivalent,employed,0k-20k,Finance
3,Detached,Somewhat satisfied,Strongly disagree,"Wind, Humidity",Somewhat informed,Washing clothes in cold water during hot weather,Finance ,Lack of information ,Never,"Refrigerator, Dryer, Dishwasher",weekend,Very poorly,35-44,Bachelor's degree,employed,60k-80k,Finance
3,Semi_detached,Somewhat satisfied,Somewhat disagree,Precipitation,Somewhat informed,Washing clothes in cold water during hot weather,Renting,Lack of information ,Never,"Refrigerator, Dryer, Dishwasher",holidays,Neutral,35-44,High school diploma or equivalent,employed,0k-20k,Finance
